nama_kabupaten_kota,tahun,kab/kota,keterangan,total
KABUPATEN KUNINGAN,2011-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2011-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2011-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2011-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2011-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2011-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2011-01-01,Purwakarta,Penemuan Kasus Pneumonia,
KABUPATEN KARAWANG,2011-01-01,Karawang,Penemuan Kasus Pneumonia,
KABUPATEN BEKASI,2011-01-01,Bekasi,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG BARAT,2011-01-01,Bandung Barat,Penemuan Kasus Pneumonia,
KABUPATEN PANGANDARAN,2011-01-01,Pangandaran,Penemuan Kasus Pneumonia,
KOTA BOGOR,2011-01-01,Kota Bogor,Penemuan Kasus Pneumonia,
KOTA SUKABUMI,2011-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,
KOTA BANDUNG,2011-01-01,Kota Bandung,Penemuan Kasus Pneumonia,
KOTA CIREBON,2011-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,
KOTA BEKASI,2011-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,
KOTA DEPOK,2011-01-01,Kota Depok,Penemuan Kasus Pneumonia,
KOTA CIMAHI,2011-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,
KOTA TASIKMALAYA,2011-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,
KOTA BANJAR,2011-01-01,Kota Banjar,Penemuan Kasus Pneumonia,
KABUPATEN BOGOR,2012-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2012-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2012-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2012-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2012-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2012-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2012-01-01,Ciamis,Penemuan Kasus Pneumonia,
KABUPATEN KUNINGAN,2012-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2012-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2012-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2012-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2012-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2012-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2012-01-01,Purwakarta,Penemuan Kasus Pneumonia,
KABUPATEN KARAWANG,2012-01-01,Karawang,Penemuan Kasus Pneumonia,
KABUPATEN BEKASI,2012-01-01,Bekasi,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG BARAT,2012-01-01,Bandung Barat,Penemuan Kasus Pneumonia,
KABUPATEN PANGANDARAN,2012-01-01,Pangandaran,Penemuan Kasus Pneumonia,
KOTA BOGOR,2012-01-01,Kota Bogor,Penemuan Kasus Pneumonia,
KOTA SUKABUMI,2012-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,
KOTA BANDUNG,2012-01-01,Kota Bandung,Penemuan Kasus Pneumonia,
KOTA CIREBON,2012-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,
KOTA BEKASI,2012-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,
KOTA DEPOK,2012-01-01,Kota Depok,Penemuan Kasus Pneumonia,
KOTA CIMAHI,2012-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,
KOTA TASIKMALAYA,2012-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,
KOTA BANJAR,2012-01-01,Kota Banjar,Penemuan Kasus Pneumonia,
KABUPATEN BOGOR,2013-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2013-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2013-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2013-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2013-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2013-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2013-01-01,Ciamis,Penemuan Kasus Pneumonia,
KABUPATEN KUNINGAN,2013-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2013-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2013-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2013-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2013-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2013-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2013-01-01,Purwakarta,Penemuan Kasus Pneumonia,
KABUPATEN KARAWANG,2013-01-01,Karawang,Penemuan Kasus Pneumonia,
KABUPATEN BEKASI,2013-01-01,Bekasi,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG BARAT,2013-01-01,Bandung Barat,Penemuan Kasus Pneumonia,
KABUPATEN PANGANDARAN,2013-01-01,Pangandaran,Penemuan Kasus Pneumonia,
KOTA BOGOR,2013-01-01,Kota Bogor,Penemuan Kasus Pneumonia,
KOTA SUKABUMI,2013-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,
KOTA BANDUNG,2013-01-01,Kota Bandung,Penemuan Kasus Pneumonia,
KOTA CIREBON,2013-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,
KOTA BEKASI,2013-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,
KOTA DEPOK,2013-01-01,Kota Depok,Penemuan Kasus Pneumonia,
KOTA CIMAHI,2013-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,
KOTA TASIKMALAYA,2013-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,
KOTA BANJAR,2013-01-01,Kota Banjar,Penemuan Kasus Pneumonia,
KABUPATEN BOGOR,2014-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2014-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2014-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2014-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2014-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2014-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2014-01-01,Ciamis,Penemuan Kasus Pneumonia,
KABUPATEN KUNINGAN,2014-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2014-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2014-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2014-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2014-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2014-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2014-01-01,Purwakarta,Penemuan Kasus Pneumonia,
KABUPATEN KARAWANG,2014-01-01,Karawang,Penemuan Kasus Pneumonia,
KABUPATEN BEKASI,2014-01-01,Bekasi,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG BARAT,2014-01-01,Bandung Barat,Penemuan Kasus Pneumonia,
KABUPATEN PANGANDARAN,2014-01-01,Pangandaran,Penemuan Kasus Pneumonia,
KOTA BOGOR,2014-01-01,Kota Bogor,Penemuan Kasus Pneumonia,
KOTA SUKABUMI,2014-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,
KOTA BANDUNG,2014-01-01,Kota Bandung,Penemuan Kasus Pneumonia,
KOTA CIREBON,2014-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,
KOTA BEKASI,2014-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,
KOTA DEPOK,2014-01-01,Kota Depok,Penemuan Kasus Pneumonia,
KOTA CIMAHI,2014-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,
KOTA TASIKMALAYA,2014-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,
KOTA BANJAR,2014-01-01,Kota Banjar,Penemuan Kasus Pneumonia,
KABUPATEN BOGOR,2015-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2015-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2015-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2015-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2015-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2015-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2015-01-01,Ciamis,Penemuan Kasus Pneumonia,
KABUPATEN KUNINGAN,2015-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2015-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2015-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2015-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2015-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2015-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2015-01-01,Purwakarta,Penemuan Kasus Pneumonia,
KABUPATEN KARAWANG,2015-01-01,Karawang,Penemuan Kasus Pneumonia,
KABUPATEN BEKASI,2015-01-01,Bekasi,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG BARAT,2015-01-01,Bandung Barat,Penemuan Kasus Pneumonia,
KABUPATEN PANGANDARAN,2015-01-01,Pangandaran,Penemuan Kasus Pneumonia,
KOTA BOGOR,2015-01-01,Kota Bogor,Penemuan Kasus Pneumonia,
KOTA SUKABUMI,2015-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,
KOTA BANDUNG,2015-01-01,Kota Bandung,Penemuan Kasus Pneumonia,
KOTA CIREBON,2015-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,
KOTA BEKASI,2015-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,
KOTA DEPOK,2015-01-01,Kota Depok,Penemuan Kasus Pneumonia,
KOTA CIMAHI,2015-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,
KOTA TASIKMALAYA,2015-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,
KOTA BANJAR,2015-01-01,Kota Banjar,Penemuan Kasus Pneumonia,
KABUPATEN BOGOR,2016-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2016-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2016-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2016-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2016-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2016-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2016-01-01,Ciamis,Penemuan Kasus Pneumonia,
KABUPATEN KUNINGAN,2016-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2016-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2016-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2016-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2016-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2016-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2016-01-01,Purwakarta,Penemuan Kasus Pneumonia,
KABUPATEN KARAWANG,2016-01-01,Karawang,Penemuan Kasus Pneumonia,
KABUPATEN BEKASI,2016-01-01,Bekasi,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG BARAT,2016-01-01,Bandung Barat,Penemuan Kasus Pneumonia,
KABUPATEN PANGANDARAN,2016-01-01,Pangandaran,Penemuan Kasus Pneumonia,
KOTA BOGOR,2016-01-01,Kota Bogor,Penemuan Kasus Pneumonia,
KOTA SUKABUMI,2016-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,
KOTA BANDUNG,2016-01-01,Kota Bandung,Penemuan Kasus Pneumonia,
KOTA CIREBON,2016-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,
KOTA BEKASI,2016-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,
KOTA DEPOK,2016-01-01,Kota Depok,Penemuan Kasus Pneumonia,
KOTA CIMAHI,2016-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,
KOTA TASIKMALAYA,2016-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,
KOTA BANJAR,2016-01-01,Kota Banjar,Penemuan Kasus Pneumonia,
KABUPATEN BOGOR,2017-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2017-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2017-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2017-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2017-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2017-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2017-01-01,Ciamis,Penemuan Kasus Pneumonia,
KABUPATEN KUNINGAN,2017-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2017-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2017-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2017-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2017-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2017-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2017-01-01,Purwakarta,Penemuan Kasus Pneumonia,
KABUPATEN KARAWANG,2017-01-01,Karawang,Penemuan Kasus Pneumonia,
KABUPATEN BEKASI,2017-01-01,Bekasi,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG BARAT,2017-01-01,Bandung Barat,Penemuan Kasus Pneumonia,
KABUPATEN PANGANDARAN,2017-01-01,Pangandaran,Penemuan Kasus Pneumonia,
KOTA BOGOR,2017-01-01,Kota Bogor,Penemuan Kasus Pneumonia,
KOTA SUKABUMI,2017-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,
KOTA BANDUNG,2017-01-01,Kota Bandung,Penemuan Kasus Pneumonia,
KOTA CIREBON,2017-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,
KOTA BEKASI,2017-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,
KOTA DEPOK,2017-01-01,Kota Depok,Penemuan Kasus Pneumonia,
KOTA CIMAHI,2017-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,
KOTA TASIKMALAYA,2017-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,
KOTA BANJAR,2017-01-01,Kota Banjar,Penemuan Kasus Pneumonia,
KABUPATEN BOGOR,2018-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2018-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2018-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2018-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2018-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2018-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2018-01-01,Ciamis,Penemuan Kasus Pneumonia,
KABUPATEN KUNINGAN,2018-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2018-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2018-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2018-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2018-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2018-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2018-01-01,Purwakarta,Penemuan Kasus Pneumonia,
KABUPATEN KARAWANG,2018-01-01,Karawang,Penemuan Kasus Pneumonia,
KABUPATEN BEKASI,2018-01-01,Bekasi,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG BARAT,2018-01-01,Bandung Barat,Penemuan Kasus Pneumonia,
KABUPATEN PANGANDARAN,2018-01-01,Pangandaran,Penemuan Kasus Pneumonia,
KOTA BOGOR,2018-01-01,Kota Bogor,Penemuan Kasus Pneumonia,
KOTA SUKABUMI,2018-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,
KOTA BANDUNG,2018-01-01,Kota Bandung,Penemuan Kasus Pneumonia,
KOTA CIREBON,2018-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,
KOTA BEKASI,2018-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,
KOTA DEPOK,2018-01-01,Kota Depok,Penemuan Kasus Pneumonia,
KOTA CIMAHI,2018-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,
KOTA TASIKMALAYA,2018-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,
KOTA BANJAR,2018-01-01,Kota Banjar,Penemuan Kasus Pneumonia,
KABUPATEN BOGOR,2019-01-01,Bogor,Penemuan Kasus Pneumonia,7269.0
KABUPATEN SUKABUMI,2019-01-01,Sukabumi,Penemuan Kasus Pneumonia,4506.0
KABUPATEN CIANJUR,2019-01-01,Cianjur,Penemuan Kasus Pneumonia,4243.0
KABUPATEN BANDUNG,2019-01-01,Bandung,Penemuan Kasus Pneumonia,7614.0
KABUPATEN GARUT,2019-01-01,Garut,Penemuan Kasus Pneumonia,8011.0
KABUPATEN TASIKMALAYA,2019-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,3823.0
KABUPATEN CIAMIS,2019-01-01,Ciamis,Penemuan Kasus Pneumonia,5008.0
KABUPATEN KUNINGAN,2019-01-01,Kuningan,Penemuan Kasus Pneumonia,2229.0
KABUPATEN CIREBON,2019-01-01,Cirebon,Penemuan Kasus Pneumonia,10776.0
KABUPATEN MAJALENGKA,2019-01-01,Majalengka,Penemuan Kasus Pneumonia,4531.0
KABUPATEN SUMEDANG,2019-01-01,Sumedang,Penemuan Kasus Pneumonia,3979.0
KABUPATEN INDRAMAYU,2019-01-01,Indramayu,Penemuan Kasus Pneumonia,6602.0
KABUPATEN SUBANG,2019-01-01,Subang,Penemuan Kasus Pneumonia,4885.0
KABUPATEN PURWAKARTA,2019-01-01,Purwakarta,Penemuan Kasus Pneumonia,3653.0
KABUPATEN KARAWANG,2019-01-01,Karawang,Penemuan Kasus Pneumonia,5494.0
KABUPATEN BEKASI,2019-01-01,Bekasi,Penemuan Kasus Pneumonia,2136.0
KABUPATEN BANDUNG BARAT,2019-01-01,Bandung Barat,Penemuan Kasus Pneumonia,2497.0
KABUPATEN PANGANDARAN,2019-01-01,Pangandaran,Penemuan Kasus Pneumonia,778.0
KOTA BOGOR,2019-01-01,Kota Bogor,Penemuan Kasus Pneumonia,3618.0
KOTA SUKABUMI,2019-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,1374.0
KOTA BANDUNG,2019-01-01,Kota Bandung,Penemuan Kasus Pneumonia,8098.0
KOTA CIREBON,2019-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,2037.0
KOTA BEKASI,2019-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,2801.0
KOTA DEPOK,2019-01-01,Kota Depok,Penemuan Kasus Pneumonia,1694.0
KOTA CIMAHI,2019-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,1371.0
KOTA TASIKMALAYA,2019-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,1686.0
KOTA BANJAR,2019-01-01,Kota Banjar,Penemuan Kasus Pneumonia,569.0
KABUPATEN BOGOR,2020-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2020-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2020-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2020-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2020-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2020-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2020-01-01,Ciamis,Penemuan Kasus Pneumonia,
KABUPATEN KUNINGAN,2020-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2020-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2020-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2020-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2020-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2020-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2020-01-01,Purwakarta,Penemuan Kasus Pneumonia,
KABUPATEN KARAWANG,2020-01-01,Karawang,Penemuan Kasus Pneumonia,
KABUPATEN BEKASI,2020-01-01,Bekasi,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG BARAT,2020-01-01,Bandung Barat,Penemuan Kasus Pneumonia,
KABUPATEN PANGANDARAN,2020-01-01,Pangandaran,Penemuan Kasus Pneumonia,
KOTA BOGOR,2020-01-01,Kota Bogor,Penemuan Kasus Pneumonia,
KOTA SUKABUMI,2020-01-01,Kota Sukabumi,Penemuan Kasus Pneumonia,
KOTA BANDUNG,2020-01-01,Kota Bandung,Penemuan Kasus Pneumonia,
KOTA CIREBON,2020-01-01,Kota Cirebon,Penemuan Kasus Pneumonia,
KOTA BEKASI,2020-01-01,Kota Bekasi,Penemuan Kasus Pneumonia,
KOTA DEPOK,2020-01-01,Kota Depok,Penemuan Kasus Pneumonia,
KOTA CIMAHI,2020-01-01,Kota Cimahi,Penemuan Kasus Pneumonia,
KOTA TASIKMALAYA,2020-01-01,Kota Tasikmalaya,Penemuan Kasus Pneumonia,
KOTA BANJAR,2020-01-01,Kota Banjar,Penemuan Kasus Pneumonia,
KABUPATEN BOGOR,2021-01-01,Bogor,Penemuan Kasus Pneumonia,
KABUPATEN SUKABUMI,2021-01-01,Sukabumi,Penemuan Kasus Pneumonia,
KABUPATEN CIANJUR,2021-01-01,Cianjur,Penemuan Kasus Pneumonia,
KABUPATEN BANDUNG,2021-01-01,Bandung,Penemuan Kasus Pneumonia,
KABUPATEN GARUT,2021-01-01,Garut,Penemuan Kasus Pneumonia,
KABUPATEN TASIKMALAYA,2021-01-01,Tasikmalaya,Penemuan Kasus Pneumonia,
KABUPATEN CIAMIS,2021-01-01,Ciamis,Penemuan Kasus Pneumonia,
KABUPATEN KUNINGAN,2021-01-01,Kuningan,Penemuan Kasus Pneumonia,
KABUPATEN CIREBON,2021-01-01,Cirebon,Penemuan Kasus Pneumonia,
KABUPATEN MAJALENGKA,2021-01-01,Majalengka,Penemuan Kasus Pneumonia,
KABUPATEN SUMEDANG,2021-01-01,Sumedang,Penemuan Kasus Pneumonia,
KABUPATEN INDRAMAYU,2021-01-01,Indramayu,Penemuan Kasus Pneumonia,
KABUPATEN SUBANG,2021-01-01,Subang,Penemuan Kasus Pneumonia,
KABUPATEN PURWAKARTA,2021-01-01,Purwakarta,Penemuan Kasus Pneumonia,
